The printer needs paper.	Der Drucker braucht Papier.
Whose newspaper is this?	Wem gehört die Zeitung hier?
Why are the police here?	Warum ist die Polizei hier?
Why are they doing this?	Warum tun sie das?
Why are you apologizing?	Warum entschuldigst du dich?
Why are you apologizing?	Weshalb entschuldigen Sie sich?
Why are you helping Tom?	Warum hilfst du Tom?
Why are you helping Tom?	Warum helft ihr Tom?
Why are you helping Tom?	Warum helfen Sie Tom?
Why are you in my house?	Was haben Sie in meinem Haus zu suchen?
Why are you lying to me?	Warum lügst du mich an?
Why are you really here?	Warum bist du wirklich hier?
Why are you so arrogant?	Warum bist du so arrogant?
Why are you so insecure?	Warum bist du so unsicher?
Why are you so insecure?	Warum sind Sie so unsicher?
Why are you so insecure?	Warum seid ihr so unsicher?
Why aren't you laughing?	Warum lachst du nicht?
Why aren't you laughing?	Warum lacht ihr nicht?
Why aren't you laughing?	Warum lachen Sie nicht?
Why can't I go with you?	Wieso kann ich nicht mit dir kommen?
Why did Tom come to you?	Warum hat Tom dich aufgesucht?
Why did Tom lie to Mary?	Warum hat Tom Maria angelogen?
Why did he quit his job?	Warum hat er diese Stelle aufgegeben?
Why did it take so long?	Warum hat es so lange gedauert?
Why did they arrest him?	Warum haben sie ihn eingesperrt?
Why did they just leave?	Warum sind sie gegangen?
Why did you buy flowers?	Warum hast du Blumen gekauft?
Why did you buy flowers?	Warum habt ihr Blumen gekauft?
Why did you buy flowers?	Warum haben Sie Blumen gekauft?
Why did you go to Tokyo?	Warum bist du nach Tokyo gegangen?
Why did you go to Tokyo?	Warum bist du nach Tokio gegangen?
Why didn't she help you?	Warum hat sie dir nicht geholfen?
Why didn't the bus stop?	Warum ist der Bus nicht stehen geblieben?
Why didn't you help Tom?	Warum hast du Tom nicht geholfen?
Why didn't you help Tom?	Warum habt ihr Tom nicht geholfen?
Why didn't you help Tom?	Warum haben Sie Tom nicht geholfen?
Why didn't you just ask?	Warum hast du nicht einfach gefragt?
Why didn't you just ask?	Warum habt ihr nicht einfach gefragt?
Why didn't you just ask?	Warum haben Sie nicht einfach gefragt?
Why didn't you tell her?	Warum hast du es ihr nicht gesagt?
Why didn't you tell her?	Wieso hast du es ihr nicht gesagt?
Why do people like golf?	Warum spielen die Leute gerne Golf?
Why do people tell lies?	Warum lügen die Leute?
Why do we have to do it?	Warum müssen wir es tun?
Why do you care so much?	Warum ist dir das so wichtig?
Why does it even matter?	Warum spielt das überhaupt eine Rolle?
Why don't we go dancing?	Sollen wir nicht tanzen gehen?
Why don't we go dancing?	Warum gehen wir nicht tanzen?
Why don't you buy a car?	Warum kaufst du dir kein Auto?
Why don't you go to bed?	Warum gehst du nicht ins Bett?
Why don't you leave Tom?	Warum verlässt du Tom nicht?
Why is he so nice to me?	Warum ist er so nett zu mir?
Why is he staring at me?	Warum starrt er mich an?
Why is it so quiet here?	Warum ist es hier so ruhig?
Why was Tom transferred?	Warum wurde Tom versetzt?
Why was Tom transferred?	Warum ist Tom versetzt worden?
Why won't you accept it?	Warum wirst du es nicht akzeptieren?
Why would I hurt anyone?	Warum sollte ich jemanden verletzen?
Will he ever forgive me?	Wird er mir jemals vergeben?
Will it be hot tomorrow?	Wird es morgen heiß werden?
Will you give me a ride?	Kannst du mich mitnehmen?
Will you light the fire?	Zündest du das Feuer an?
Will you sign it for me?	Bitte unterschreib es für mich.
Winners don't use drugs.	Gewinner nehmen keine Drogen.
Would you do me a favor?	Könnten Sie mir bitte einen Gefallen tun?
Would you like a banana?	Möchtest du eine Banane?
Would you like to dance?	Möchten Sie tanzen?
Would you like to order?	Möchten Sie bestellen?
Would you recognize Tom?	Würdest du Tom wiedererkennen?
Would you recognize Tom?	Würdet ihr Tom wiedererkennen?
Would you recognize Tom?	Würden Sie Tom wiedererkennen?
Would you stop babbling?	Würdest du aufhören, zu plappern?
Write your address here.	Schreibe deine Adresse hier auf.
You and I are soulmates.	Du und ich sind Seelenverwandte.
You are a good customer.	Sie sind ein guter Kunde.
You are as tall as I am.	Du bist genauso groß wie ich.
You are as tall as I am.	Sie sind so groß, wie ich es bin.
You are as tall as I am.	Sie sind genauso groß wie ich.
You are as tall as I am.	Ihr seid genauso groß wie ich.
You are blinded by love.	Du bist blind vor Liebe.
You are free to go home.	Es steht dir frei, nach Hause zu gehen.
You are in a safe place.	Du bist an einem sicheren Ort.
You are in a safe place.	Sie sind an einem sicheren Ort.
You are only young once.	Man ist nur einmal jung.
You are only young once.	Wir sind nur einmal jung.
You are to come with me.	Du musst mit mir kommen.
You aren't welcome here.	Sie sind hier nicht gern gesehen.
You bet I was surprised.	Und ob ich überrascht war!
You can get it for free.	Du kannst es gratis bekommen.
You can hear everything.	Man kann alles hören.
You can hear everything.	Du kannst alles hören.
You can put it anywhere.	Du kannst es überall hinstellen.
You can put it anywhere.	Sie können es irgendwohin stellen.
You can put it anywhere.	Ihr könnt es irgendwohin abstellen.
You can read, can't you?	Du kannst doch lesen, oder?
You can swim, can't you?	Ihr könnt schwimmen, oder?
You can swim, can't you?	Sie können schwimmen, nicht wahr?
You can swim, can't you?	Du kannst doch schwimmen, oder?
You can type, can't you?	Du kannst tippen, nicht wahr?
You can't both be right.	Ihr könnt nicht beide recht haben.
You can't buy happiness.	Glück kann man nicht kaufen.
You can't do everything.	Man kann nicht alles können.
You can't do this to me.	Das kannst du mir nicht antun.
You can't do this to us.	Das kannst du uns nicht antun!
You can't give Tom that.	Ich kann Tom das nicht geben.
You can't go back there.	Du kannst nicht dorthin zurück.
You can't intimidate us.	Du kannst uns nicht einschüchtern.
You can't intimidate us.	Sie können uns nicht einschüchtern.
You can't leave us here.	Du kannst uns hier nicht zurücklassen.
You can't leave us here.	Ihr könnt uns hier nicht zurücklassen.
You can't leave us here.	Sie können uns hier nicht zurücklassen.
You can't leave us, Tom.	Du darfst uns nicht verlassen, Tom!
You can't make me leave.	Du kannst mich nicht dazu zwingen zu gehen.
You can't make us leave.	Du kannst uns nicht zwingen zu gehen.
You can't make us leave.	Sie können uns nicht zwingen zu gehen.
You can't make us leave.	Ihr könnt uns nicht zwingen zu gehen.
You can't prove a thing.	Du kannst gar nichts beweisen.
You can't prove a thing.	Sie können nicht das Geringste beweisen.
You can't prove a thing.	Ihr könnt nichts beweisen.
You can't see Tom today.	Du kannst dich heute nicht mit Tom treffen.
You can't smoke in here.	Du darfst hier drin nicht rauchen.
You can't smoke in here.	Sie dürfen hier drin nicht rauchen.
You can't smoke in here.	Ihr dürft hier drin nicht rauchen.
You can't stay for long.	Du kannst nicht lange bleiben.
You can't stay for long.	Sie können nicht lange bleiben.
You can't stay for long.	Ihr könnt nicht lange bleiben.
You can't stop progress.	Du kannst den Fortschritt nicht aufhalten.
You can't swim, can you?	Du kannst nicht schwimmen, oder?
You did that on purpose.	Das haben Sie absichtlich gemacht.
You did that on purpose.	Das habt ihr absichtlich gemacht.
You did that on purpose.	Das hast du absichtlich gemacht.
You did that on purpose.	Das hast du absichtlich getan.
You did that on purpose.	Das habt ihr mit Absicht gemacht.
You did that on purpose.	Das habt ihr mit Absicht getan.
You did that on purpose.	Das habt ihr absichtlich getan.
You did that on purpose.	Das hast du mit Absicht gemacht.
You did that on purpose.	Das hast du mit Absicht getan.
You did that on purpose.	Das haben Sie absichtlich getan.
You did that on purpose.	Das haben Sie mit Absicht getan.
You did that on purpose.	Das haben Sie mit Absicht gemacht.
You did the right thing.	Du hast das Richtige getan.
You did the right thing.	Sie haben das Richtige getan.
You didn't get very far.	Du bist nicht weit gekommen.
You didn't miss a thing.	Es fehlte dir an nichts.
You didn't need to come.	Du brauchtest nicht zu kommen.
You didn't need to come.	Sie brauchten nicht zu kommen.
You didn't need to come.	Ihr brauchtet nicht zu kommen.
You didn't scare me off.	Du hast mich nicht erschreckt.
You do not have a fever.	Du hast kein Fieber.
You don't care about me.	Ich bin dir egal.
You don't even know Tom.	Du kennst Tom doch gar nicht.
You don't even know Tom.	Du kennst nicht einmal Tom.
You don't even know how.	Du weißt nicht einmal wie.
You don't get to choose.	Du wirst nicht wählen.
You don't get to choose.	Du wirst nicht aussuchen.
You don't have a chance.	Du hast keine Chance.
You don't have a choice.	Du hast keine Wahl.
You don't have a choice.	Sie haben keine Wahl.
You don't have the guts.	Den Schneid hast du nicht.
You don't have the time.	Dir reicht die Zeit nicht.
You don't have the time.	Dazu hast du keine Zeit.
You don't have the time.	Dazu haben Sie keine Zeit.
You don't have the time.	Du hast keine Zeit dafür.
You don't have to hurry.	Du brauchst dich nicht beeilen.
You don't have to hurry.	Ihr braucht euch nicht beeilen.
You don't have to hurry.	Sie brauchen sich nicht beeilen.
You don't have to hurry.	Du brauchst dich nicht zu beeilen.
You don't have to hurry.	Ihr braucht euch nicht zu beeilen.
You don't have to hurry.	Sie brauchen sich nicht zu beeilen.
You don't have to study.	Man muss nicht studieren.
You don't know who I am.	Ihr wisst nicht, wer ich bin.
You don't need to panic.	Du brauchst nicht in Panik zu geraten.
You don't need to worry.	Du kannst ganz beruhigt sein.
You don't need to worry.	Sie können ganz beruhigt sein.
You don't need to worry.	Ihr könnt ganz beruhigt sein.
You don't smoke, do you?	Du rauchst nicht, oder?
You don't understand me.	Du verstehst mich nicht.
You don't understand me.	Sie verstehen mich nicht.
You drink too much, Tom.	Du trinkst zu viel, Tom.
You dropped your pencil.	Du hast deinen Bleistift fallen lassen.
You explained that well.	Du hast das gut erklärt.
You explained that well.	Sie haben das gut erklärt.
You explained that well.	Ihr habt das gut erklärt.
You got what you wanted.	Du hast bekommen, was du wolltest.
You guys need new shoes.	Ihr braucht neue Schuhe.
You hardly ate anything.	Du hast kaum etwas gegessen.
You hardly ate anything.	Ihr habt kaum etwas gegessen.
You hardly ate anything.	Sie haben kaum etwas gegessen.
You have a lot of books.	Du hast viele Bücher.
You have a lot of books.	Ihr habt viele Bücher.
You have a lot of books.	Du hast zahlreiche Bücher.
You have an alternative.	Du hast eine Alternative.
You have an alternative.	Sie haben eine Alternative.
You have an alternative.	Ihr habt eine Alternative.
You have beautiful eyes.	Du hast schöne Augen.
You have beautiful lips.	Du hast schöne Lippen.
You have beautiful lips.	Sie haben schöne Lippen.
You have done very well.	Das hast du sehr gut gemacht.
You have done very well.	Du hast dich sehr gut geschlagen.
You have plenty of time.	Du hast ausgiebig Zeit.
You have plenty of time.	Sie haben ausgiebig Zeit.
You have real potential.	Du hast wahres Potential.
You have three messages.	Sie haben drei Nachrichten.
You have three messages.	Du hast drei Nachrichten.
You have to do as I say.	Du musst tun, was ich dir sage.
You have to do as I say.	Ihr müsst tun, was ich euch sage.
You have to do as I say.	Sie müssen tun, was ich Ihnen sage.
You have to do it today.	Ihr müsst das heute machen.
You have to do it today.	Sie müssen das heute noch erledigen.
You have to do this now.	Du musst das jetzt machen.
You have very sexy legs.	Du hast sehr sexy Beine.
You have very sexy legs.	Ihre Beine sind sehr sexy.
You haven't paid me yet.	Du hast mich noch nicht bezahlt.
You haven't paid me yet.	Ihr habt mich noch nicht bezahlt.
You haven't paid me yet.	Sie haben mich noch nicht bezahlt.
You know what Tom wants.	Du weißt, was Tom will.
You know what Tom wants.	Sie wissen, was Tom will.
You know why, don't you?	Du kennst den Grund doch, oder?
You left your lights on.	Sie haben Ihr Licht angelassen.
You left your lights on.	Du hast dein Licht angelassen.
You left your lights on.	Ihr habt euer Licht angelassen.
You like her, don't you?	Du magst sie, nicht wahr?
You like her, don't you?	Du magst sie nicht leiden, oder?
You like him, don't you?	Du magst ihn, nicht wahr?
You like him, don't you?	Du magst ihn nicht leiden, oder?
You look like a tourist.	Du siehst wie ein Tourist aus.
You look like a tourist.	Sie sehen wie ein Tourist aus.
You look quite run down.	Du siehst ziemlich ausgelaugt aus.
You look very dignified.	Du siehst sehr würdevoll aus.
You look very dignified.	Sie sehen sehr würdevoll aus.
You lost a lot of blood.	Du hast viel Blut verloren.
You made the right call.	Du hast die richtige Entscheidung getroffen.
You make me want to cry.	Du bringst mich zum Weinen.
You may as well give up.	Du kannst genauso gut aufgeben.
You may use his library.	Du darfst seine Bibliothek benutzen.
You may use it any time.	Du kannst es jederzeit benutzen.
You must be more polite.	Du musst höflicher sein!
You must be more polite.	Ihr müsst höflicher sein!
You must be more polite.	Sie müssen höflicher sein!
You must do it this way.	Du musst das so machen.
You must do it yourself.	Du musst es selbst machen.
You must go up the hill.	Du musst den Hügel hinaufgehen.
You must not tell a lie.	Du darfst nicht lügen.
You must pay in advance.	Sie müssen im Voraus zahlen.
You must pay in advance.	Sie müssen im Voraus bezahlen.
You must pay in advance.	Du musst im Voraus bezahlen.
You must read this book.	Du musst dieses Buch lesen.
You must stay the night.	Du musst die Nacht über bleiben.
You mustn't tell anyone.	Du darfst niemandem davon erzählen!
